Geography ID, Name,County,Tribal Areas,Avg. Annual Energy Cost
42101001400,Census Tract 14,Philadelphia County,,1777
42101015101,Census Tract 151.01,Philadelphia County,,2535
42101015102,Census Tract 151.02,Philadelphia County,,2489
42101016902,Census Tract 169.02,Philadelphia County,,2608
42101027000,Census Tract 270,Philadelphia County,,2405
42101028800,Census Tract 288,Philadelphia County,,2575
42101035602,Census Tract 356.02,Philadelphia County,,2274
42101004201,Census Tract 42.01,Philadelphia County,,2150
42101001002,Census Tract 10.02,Philadelphia County,,1839
42101011000,Census Tract 110,Philadelphia County,,2427
42101011100,Census Tract 111,Philadelphia County,,2789
42101011300,Census Tract 113,Philadelphia County,,2755
42101011400,Census Tract 114,Philadelphia County,,2399
42101011500,Census Tract 115,Philadelphia County,,2577
42101011800,Census Tract 118,Philadelphia County,,2614
42101011900,Census Tract 119,Philadelphia County,,2357
42101012000,Census Tract 120,Philadelphia County,,2466
42101012100,Census Tract 121,Philadelphia County,,1772
42101012201,Census Tract 122.01,Philadelphia County,,1268
42101012500,Census Tract 125,Philadelphia County,,1039
42101013100,Census Tract 131,Philadelphia County,,1805
42101013401,Census Tract 134.01,Philadelphia County,,1486
42101013500,Census Tract 135,Philadelphia County,,2153
42101013700,Census Tract 137,Philadelphia County,,2517
42101013800,Census Tract 138,Philadelphia County,,2372
42101013900,Census Tract 139,Philadelphia County,,1908
42101014100,Census Tract 141,Philadelphia County,,1794
42101014200,Census Tract 142,Philadelphia County,,1667
42101018001,Census Tract 180.01,Philadelphia County,,2196
42101018002,Census Tract 180.02,Philadelphia County,,2386
42101027600,Census Tract 276,Philadelphia County,,2363
42101027700,Census Tract 277,Philadelphia County,,2409
42101027800,Census Tract 278,Philadelphia County,,2348
42101002801,Census Tract 28.01,Philadelphia County,,2132
42101028000,Census Tract 280,Philadelphia County,,2294
42101028200,Census Tract 282,Philadelphia County,,2046
42101028400,Census Tract 284,Philadelphia County,,2630
42101028500,Census Tract 285,Philadelphia County,,2255
42101028600,Census Tract 286,Philadelphia County,,2501
42101028700,Census Tract 287,Philadelphia County,,2528
42101029000,Census Tract 290,Philadelphia County,,2435
42101029300,Census Tract 293,Philadelphia County,,2600
42101029400,Census Tract 294,Philadelphia County,,2472
42101029800,Census Tract 298,Philadelphia County,,2183
42101029900,Census Tract 299,Philadelphia County,,2379
42101003002,Census Tract 30.02,Philadelphia County,,2138
42101030100,Census Tract 301,Philadelphia County,,2232
42101030200,Census Tract 302,Philadelphia County,,2399
42101030502,Census Tract 305.02,Philadelphia County,,2333
42101030600,Census Tract 306,Philadelphia County,,2152
42101030700,Census Tract 307,Philadelphia County,,1866
42101030800,Census Tract 308,Philadelphia County,,2468
42101030900,Census Tract 309,Philadelphia County,,2293
42101031000,Census Tract 310,Philadelphia County,,2406
42101031300,Census Tract 313,Philadelphia County,,2379
42101031401,Census Tract 314.01,Philadelphia County,,2316
42101031502,Census Tract 315.02,Philadelphia County,,2502
42101031600,Census Tract 316,Philadelphia County,,2349
42101031700,Census Tract 317,Philadelphia County,,2289
42101031800,Census Tract 318,Philadelphia County,,2230
42101032000,Census Tract 320,Philadelphia County,,2468
42101032100,Census Tract 321,Philadelphia County,,2384
42101032500,Census Tract 325,Philadelphia County,,2363
42101032600,Census Tract 326,Philadelphia County,,2544
42101036201,Census Tract 362.01,Philadelphia County,,2087
42101036202,Census Tract 362.02,Philadelphia County,,2268
42101036203,Census Tract 362.03,Philadelphia County,,2255
42101036301,Census Tract 363.01,Philadelphia County,,2179
