Geography ID, Name,County,Tribal Areas,Housing Counts
42101037500,Census Tract 375,Philadelphia County,,1287
42101008602,Census Tract 86.02,Philadelphia County,,1155
42101009801,Census Tract 98.01,Philadelphia County,,901
42101009802,Census Tract 98.02,Philadelphia County,,2139
42101010000,Census Tract 100,Philadelphia County,,1506
42101010100,Census Tract 101,Philadelphia County,,2243
42101010200,Census Tract 102,Philadelphia County,,1250
42101010300,Census Tract 103,Philadelphia County,,916
42101010400,Census Tract 104,Philadelphia County,,1325
42101010500,Census Tract 105,Philadelphia County,,1468
42101011200,Census Tract 112,Philadelphia County,,1966
42101001201,Census Tract 12.01,Philadelphia County,,2165
42101001202,Census Tract 12.02,Philadelphia County,,2860
42101012203,Census Tract 122.03,Philadelphia County,,260
42101012204,Census Tract 122.04,Philadelphia County,,1861
42101013602,Census Tract 136.02,Philadelphia County,,1753
42101001300,Census Tract 13,Philadelphia County,,2865
42101015300,Census Tract 153,Philadelphia County,,1085
42101001500,Census Tract 15,Philadelphia County,,1543
42101001600,Census Tract 16,Philadelphia County,,1151
42101001700,Census Tract 17,Philadelphia County,,1367
42101001800,Census Tract 18,Philadelphia County,,1467
42101001900,Census Tract 19,Philadelphia County,,1474
42101002100,Census Tract 21,Philadelphia County,,927
42101002200,Census Tract 22,Philadelphia County,,1110
42101002300,Census Tract 23,Philadelphia County,,1258
42101002400,Census Tract 24,Philadelphia County,,2150
42101025300,Census Tract 253,Philadelphia County,,1572
42101002500,Census Tract 25,Philadelphia County,,1768
42101026000,Census Tract 260,Philadelphia County,,1245
42101002702,Census Tract 27.02,Philadelphia County,,1891
42101027500,Census Tract 275,Philadelphia County,,1615
42101028300,Census Tract 283,Philadelphia County,,2309
42101002900,Census Tract 29,Philadelphia County,,1842
42101031900,Census Tract 319,Philadelphia County,,1746
42101003100,Census Tract 31,Philadelphia County,,1952
42101032300,Census Tract 323,Philadelphia County,,1384
42101003200,Census Tract 32,Philadelphia County,,1634
42101003300,Census Tract 33,Philadelphia County,,2390
42101034502,Census Tract 345.02,Philadelphia County,,2431
42101035301,Census Tract 353.01,Philadelphia County,,1971
42101036000,Census Tract 360,Philadelphia County,,1117
42101036100,Census Tract 361,Philadelphia County,,1371
42101003600,Census Tract 36,Philadelphia County,,2662
42101003701,Census Tract 37.01,Philadelphia County,,2091
42101003702,Census Tract 37.02,Philadelphia County,,1447
42101003800,Census Tract 38,Philadelphia County,,1605
42101003901,Census Tract 39.01,Philadelphia County,,2724
42101003902,Census Tract 39.02,Philadelphia County,,2310
42101004001,Census Tract 40.01,Philadelphia County,,1903
42101004002,Census Tract 40.02,Philadelphia County,,2210
42101004101,Census Tract 41.01,Philadelphia County,,2128
42101004102,Census Tract 41.02,Philadelphia County,,2623
42101006200,Census Tract 62,Philadelphia County,,1476
42101006500,Census Tract 65,Philadelphia County,,1834
42101006600,Census Tract 66,Philadelphia County,,1316
42101006700,Census Tract 67,Philadelphia County,,2610
42101006900,Census Tract 69,Philadelphia County,,1079
42101000600,Census Tract 6,Philadelphia County,,746
42101007200,Census Tract 72,Philadelphia County,,1680
42101007300,Census Tract 73,Philadelphia County,,1074
42101007400,Census Tract 74,Philadelphia County,,1759
42101007800,Census Tract 78,Philadelphia County,,1978
42101007900,Census Tract 79,Philadelphia County,,2185
42101000804,Census Tract 8.04,Philadelphia County,,2973
42101008000,Census Tract 80,Philadelphia County,,1433
42101008200,Census Tract 82,Philadelphia County,,2429
42101008301,Census Tract 83.01,Philadelphia County,,1639
42101008302,Census Tract 83.02,Philadelphia County,,1953
42101008400,Census Tract 84,Philadelphia County,,1647
42101008500,Census Tract 85,Philadelphia County,,2608
42101000902,Census Tract 9.02,Philadelphia County,,1373
42101009000,Census Tract 90,Philadelphia County,,1006
42101009200,Census Tract 92,Philadelphia County,,1346
42101009300,Census Tract 93,Philadelphia County,,1692
42101009400,Census Tract 94,Philadelphia County,,1749
42101009500,Census Tract 95,Philadelphia County,,1302
42101009600,Census Tract 96,Philadelphia County,,1678
42101001001,Census Tract 10.01,Philadelphia County,,1460
42101013402,Census Tract 134.02,Philadelphia County,,1612
42101013601,Census Tract 136.01,Philadelphia County,,1384
42101017602,Census Tract 176.02,Philadelphia County,,1329
42101017701,Census Tract 177.01,Philadelphia County,,1096
